start	end	text
0.0	9.0	 Hallo Herr Steffens, ich grüße Sie und ich freue mich, dass Sie bereit sind mit mir ein Interview zu machen zum Thema Trauma und Sucht.
9.0	17.0	 Und ich würde Sie einfach zu Beginn bitten so ein bisschen was von sich zu erzählen.
17.0	25.0	 Sie haben ja eine ziemlich lange Leidensgeschichte, auch hinter sich bis zu dem Zeitpunkt, wo Sie jetzt heute angekommen sind.
25.0	28.0	 Und dann würde ich Ihnen einfach ein paar Fragen stellen.
28.0	31.0	 Sehr gerne, hallo Frau Bitter.
35.0	39.0	 Ja, meine Leidensgeschichte fängt so an. Ich bin eins von acht Kindern,
39.0	45.0	 weil als Kind schon sehr viel durch meine ADS erkannt wurde, die sehr spät diagnostiziert worden ist.
45.0	54.0	 Ich habe meinen Vater gehabt, der alkoholosüchtig war und sehr, sehr gewalttätig in meiner Kindheit war.
54.0	59.0	 Und mein ADS und mein auffälliges Verhalten korrigieren wollte mit Gewalt,
59.0	64.0	 wollte mich halt mit Gewalt körperlich beruhigen, wodurch er mich nur noch nervöser gemacht hatte.
64.0	71.0	 So war meine Kindheit bis zum siebten Lebensjahr, bis zur Trennung meiner Eltern, doch ein ganz, ganz großer Albtraum für mich.
71.0	79.0	 Nach der Trennung meiner Eltern habe ich gedacht, dass mein Leben jetzt vernünftig anfängt und ich mich nicht mehr so falsch fühlen muss,
79.0	85.0	 weil natürlich schwierig ist, neben sieben anderen Kindern, wenn man sehr auffällig ist und anders ist, sich normal zu fühlen.
85.0	89.0	 Es ging dann daher bis zum Suizidgedanken als Kind.
89.0	96.0	 Nach der Trennung der Eltern hat meine Mutter einen Bekannten kennengelernt, der sich als Freund der Familie zu verstehen gegeben hat
96.0	102.0	 und meine Mutter sehr viel Konsum gegen Stellen geschenkt hat und ihr finanziell unter die Arme in den Griffen hat.
102.0	108.0	 Meine Mutter hat gemeint, wir bräuchten eine Vaterfigur und dass das die richtige Anlaufstelle für sie wäre
108.0	114.0	 und es natürlich auch einfacher ist, wenn man mit so vielen Kindern ist, Kinder abzugeben und ein bisschen mehr Ruhe im eigenen Haushalt zu haben.
114.0	120.0	 Wir haben auch sehr oft am Wochenende bei dieser Person geschlafen, was dann nachher bis hin zu sexuellen Übergriffen ging,
120.0	130.0	 was mich als Kind natürlich noch mehr verstört hat und mit den letzten Glauben und Vertrauen an meine Eltern und an Menschen genommen hat.
130.0	138.0	 In der Tat bin ich dadurch noch stärker verheiratet und auffällig geworden, bis hin zu gewalttätig. Ich wollte nicht, dass man mir die Opferrolle anmerkt oder ansieht
138.0	143.0	 oder dass man denkt, dass ich homosexuell wäre, weil ich homosexuell mit mir passiert bin.
143.0	150.0	 Ich habe das mit Gewalt kanadiert oder bin dann sehr gewalttätig geworden.
150.0	156.0	 Ich habe dann auch mit 12 Jahren, glaube ich, meinen ersten Selbstmordversuch mit Puls-Alteröffnung hinter mir gehabt.
156.0	160.0	 Ich bin dann in die Klinik gegangen, habe mit 12 angefangen zu konsumieren.
160.0	166.0	 Erst Cannabis, dann ging es weiter zu Kokain und Heroin schon ganz frühen Jahren.
166.0	173.0	 Ich bin heim gelandet, weil ich natürlich auch nicht mehr nach Hause wollte. Bin immer zu Hause abgängig gewesen, wollte da natürlich nicht schlafen,
173.0	178.0	 weil ich immer Angst hatte, dass dieser Mensch Zugriff auf mich hat und ich mich dem nicht entziehen konnte,
178.0	184.0	 weil ich auch nicht die Mut aufgemacht habe, mich an jemand anderen zu vertrauen, weil ich halt niemandem mehr vertraut habe.
184.0	190.0	 Ich bin dann auch ganz früh im Gefängnis gelandet mit 14 Jahren, das erste Mal wegen Autoduggestahl.
190.0	198.0	 Bin dann in ein anderes Heim gekommen, in der Zeit, wo ich in einem anderen Heim war, nach der Haft von 15 bis 16,
198.0	204.0	 wollte meine Mutter das Sorgerecht an diese Person abgeben, dass ich halt zu ihm ziehe und dass ich dann da weiter groß werde,
204.0	209.0	 was ich natürlich nicht wollte und bin dann wieder gewalttätig geworden und habe alles getan,
209.0	215.0	 damit ich in den JVA komme und dass dieser Mensch keinen Zugriff, glaube ich, hatte. Für mich war es einfach, sage ich, ich gehe ins Gefängnis, da bin ich geschützt,
215.0	218.0	 wie noch ein Freizeitleber und dieser Mensch kann mich jederzeit abfangen.
218.0	220.0	 Hat Ihre Mutter Sie nicht schützen können?
220.0	227.0	 Nein, nein. Ich glaube, meine Mutter wollte das einfach nicht sehen, was da passiert ist, weil, ich meine, das war ja schon sehr auffällig,
227.0	232.0	 aber ich glaube, da sie immer auf finanziellem Minimum war und total überfordert war mit den Kindern,
232.0	236.0	 glaube ich, hat sie einfach die Augen zugemacht und das übersehen.
236.0	247.0	 Ja, ich bin dann mit 16 wieder ins Gefängnis, bis 21 und habe dann in der Großteil meiner Jugend halt im Gefängnis und diversen Heim verbracht,
247.0	253.0	 mehrere Selbstmordversuche und bin dann auch stark, stark abhängig gewesen.
253.0	263.0	 Wann sind Sie denn das erste Mal wegen Ihrer Sucht in professionelle Hände gekommen?
263.0	274.0	 Also, ich habe in der JVA Siegburg eine Therapie gemacht, nachdem herausgekommen ist, dass dieses sexuelle Missbrauch an mir jetzt stattgefunden hat.
274.0	279.0	 Wir haben bei dem Mann, der das mit uns vollzogen hat, haben sie halt Videos in der Wohnung gefunden.
279.0	286.0	 Er hat auch andere Kinder sexuell belästigt und wir haben das zur Anzeige gebracht und dann wurde dann von mir Videomaterial gefunden,
286.0	292.0	 woraufhin die Polizei in die JVA kam und mit mir dann Aussagen gemacht hat, was für mich sehr schwierig war
292.0	298.0	 und was auch wieder zu einem Suizidversuch hingeführt hat, weil ich natürlich gedacht habe, wenn die Leute jetzt hier haben, dass ich sexuell Missbrauchfrau bin,
298.0	303.0	 werden die auf mich strucks ausüben und versuchen, mich an mir zu vergehen.
303.0	311.0	 Ja, und dort habe ich dann mit Frau Dr. Wilke das erste Mal ein Trauma mit Suchtkombi gemacht,
311.0	322.0	 um überhaupt erst darin überleben zu können im Gefängnis mit dieser Scham und diesen Selbstschuldgefühlen, die man dann leider hat.
322.0	328.0	 Sie sind danach aber wieder bergfähig geworden?
328.0	332.0	 Ja, das Problem ist, es gibt halt ganz viele Trigger im Moment im Leben.
332.0	340.0	 Ich habe halt, kann man sagen, das erste Mal wieder vernünftig schlafen können, seit diese ganzen Dinge mir passiert worden sind,
340.0	349.0	 und das war jetzt mit 38, wo ich eben die letzte Therapie gegangen bin, wo ich halt auch wirklich intensive Traumatherapie gemacht habe.
349.0	356.0	 Ich habe nachts nicht schlafen können, ich habe immer Albträume gehabt, dass ich entweder ein kleiner Junge bin, an dem Gewaltausgabe körperliche, wie von meinem Vater,
356.0	363.0	 oder dass ich halt machtlos da liege, gefesselt, und sich an mir als Sexuellen, sich einer befriedigt.
363.0	366.0	 Und das hat mir halt nachts den Schlaf geraubt.
366.0	373.0	 Ich hatte immer ganz viel Angst einzuschlafen, war halt morgens auch immer geredet und sehr angestanden und aggressiv,
373.0	379.0	 weil natürlich die Gefühle sind ja so präsent, dass es gerade wirklich leicht passiert wäre.
379.0	382.0	 Das sind halt diese Fleischwechsel, die man dann nachts kriegt beim Schlafen.
382.0	386.0	 Sie beschreiben jetzt gerade Symptome der PTBS?
386.0	388.0	 Des Traumas, ja.
388.0	391.0	 Ja, die holen einem im Alltag ganz, ganz oft ein.
391.0	396.0	 Es gibt ein bestimmtes Aftershave, ein bestimmtes Parfum, was der Täter immer getragen hat.
396.0	403.0	 Wenn ich das gerochen habe, dann habe ich Panikattacken in der Bahn bekommen, in der Stadt, ich bin steif, kann mich nicht bewegen, kriege ich weils ausbrüche,
403.0	408.0	 meine motorischen Fähigkeiten sind komplett eingestellt, ich kann nicht laufen.
408.0	413.0	 Das Einzige, was ich bekomme, ist, dass ich einen ganz flachen Atem bekomme, dass es schon fast bis zur Bewusstlosigkeit geht.
413.0	421.0	 Ist das vorher, bevor Sie in der letzten Therapie waren, schon mal mitbehandelt worden?
421.0	424.0	 Sie haben ja auch stationäre Drogentherapie gemacht.
424.0	429.0	 Das Problem an der stationären Drogentherapie ist, dass sie den Schwerpunkt Drogen hat.
429.0	434.0	 Aber ich kann ja nur von meiner persönlichen Meinung und von mir selbst sprechen,
434.0	438.0	 das ist nicht das, was man braucht, wenn man eine PTBS-Störung hat,
438.0	445.0	 sondern man muss an die Wurzel der Sucht gehen und das ist bei mir definitiv der Fall, dass es mit dem Trauma gekoppelt ist.
445.0	451.0	 Ich habe schon mehrere Therapien ausprobiert und es hat nie geklappt.
451.0	459.0	 Es hat nicht geklappt, weil ich immer nur konsumiere und ich darf nicht konsumieren und wie kann ich dem Konsum aus dem Weg gehen?
459.0	467.0	 Weil die PTBS-Therapie, gekoppelt mit Suchttherapie, wird daran gearbeitet, wo kommt die Sucht her, was hat sie ausgelesen?
467.0	474.0	 Und diese Teufel nicht besiegt, sondern weiß mit denen umzugehen, die annehmen zu können und zu wissen, dass die nicht mehr da sind
474.0	479.0	 und dass man das handhaben kann und steuern kann.
479.0	484.0	 Dann kann man auch an die Drogenproblematik gehen und dann kann die sich auch lösen.
484.0	490.0	 Und wenn man mit sich selber nachher im Reinen ist und weiß, dass man ein guter Mensch ist, so wie man ist
490.0	495.0	 und dass die anderen Menschen einem das angetan haben und man nicht daran selber schuld ist,
495.0	502.0	 dass man wieder Vertrauen auch zu Menschen fassen kann, dann geht auch die Drogen-Sucht ganz leicht von der Hand.
502.0	505.0	 Also damit ist es umzugehen.
505.0	511.0	 Sie beschreiben jetzt die Erfahrungen aus der letzten Therapie, die Sie gemacht haben?
511.0	519.0	 Genau, richtig. Ich habe eine Traumatherapie gemacht mit MDMR, mit Fingerwischen und einen sicheren Raum in meinem Kopf.
519.0	523.0	 Sie waren dazu in Travemünde in der Klinik Duid?
523.0	532.0	 Genau, in der Fachklinik Duid. Ich habe mit einer ganz tollen Traumatherapeutin zusammengearbeitet, die wirklich eine Ikone auf ihrem Gebiet war.
532.0	541.0	 Sie hat mir so meine Ängste genommen und mir so tolle Wege gezeigt, wie man Ängsten umzugehen und auch Wege zu finden,
541.0	544.0	 sich selbst wieder zu beruhigen.
544.0	550.0	 Das ist das erste Mal seit Jahrzehnten, dass ich schlafen kann. Ich schlafe, ich träume schöne Dinge.
550.0	555.0	 Ich werde morgens wach, ich bin entspannt, ich kann mich wieder lieb haben.
555.0	562.0	 Und auch wenn diese Situation wieder kommt, wo ich wieder ins Kind zurückfalle und im Traum auch wieder Kind bin,
562.0	569.0	 kann ich als Erwachsener Herr Steffens hingehen, den kleinen Herr Steffens in den Arm nehmen und sagen, pass auf, ich bin hier.
569.0	578.0	 Das ist alles, das war einmal, es ist nicht mehr. Du bist jetzt groß und ich passe auf dich auf, ich habe dich lieb und du bist gut, so wie du bist.
578.0	588.0	 Also das heißt, für Sie ist ein wesentlicher Punkt die zeitliche Einordnung der Missbrauchsgeschichte in Ihr Leben
588.0	598.0	 und zu realisieren, dass das in der Vergangenheit passiert ist und dass Sie jetzt im Hier und Jetzt ein erwachsener Mensch sind, der sich schützen kann.
598.0	604.0	 Genau, ich weiß, ich bin groß, ich weiß, ich bin richtig so, wie ich bin. Man hat sich auch ganz viele Vorurteile gemacht.
604.0	612.0	 Ich bin verkehrt, ich bin nicht richtig. Ich habe das verdient teilweise, das muss mir so passieren.
612.0	615.0	 Ich bin ja halt ein falscher Mensch, man muss ja sowas mit mir machen.
615.0	620.0	 Nein, ich bin ein erwachsener, realistischer Mensch mittlerweile, ich weiß, dass das nicht gut ist.
620.0	624.0	 Niemand hat das verdient, niemand hat sonst mal sowas getun.
624.0	630.0	 Und ich kann als erwachsener Mensch mich als kleinen, kleinen Herr Steffens lieb haben.
630.0	636.0	 Ich bin für ihn da, ich brauche niemanden, der für ihn da ist. Ich bin für meinen kleinen Herr Steffens da und ich genüge mir selber.
636.0	639.0	 Ich kann mich selber annehmen und ich kann mich selber lieben.
639.0	646.0	 Das kann halt nur eine Traumatherapie bewirken, dass sowas werden wir leider nicht in der Drogentherapie, das ist sehr schade für den Menschen.
646.0	652.0	 Das war ja eine Drogentherapie, die Sie gemacht haben, die aber den Schwerpunkt Traumabehandlung auch hat.
652.0	663.0	 Das ist jetzt ja ungefähr zwei Jahre her. Wie sieht es denn jetzt aus mit Ihrer Sucht, mit Suchtdruck? Wie gehen Sie da mit sich um?
663.0	668.0	 Suchtdruck ist immer mal wieder präsent. Es gibt kein aller Heimmittel dafür.
668.0	673.0	 Man lernt halt nur damit umzugehen und sich von dem nicht überfallen zu lassen.
673.0	680.0	 Also ich suche diverse Selbsthilfegruppen und eine davon ist die N.A. Gruppe und die sagen 24 Stunden.
680.0	686.0	 Ich verspreche mir jeden Tag 24 Stunden, bleibe ich clean. Ich stehe morgens auf und sage es noch 24 Stunden.
686.0	692.0	 Und wenn ich in den 24 Stunden Suchtdruck bekomme, dann sage ich mir, okay ich habe jetzt Suchtdruck.
692.0	696.0	 Ich könnte dem jetzt nachgeben, das tue ich aber nicht, sondern ich warte 24 Stunden.
696.0	701.0	 Das muss ich mir selbst als Mensch wert sein zu sagen, ich warte 24 Stunden bis ich konsumiere.
701.0	705.0	 Dann kann ich immer noch entscheiden, möchte ich das oder möchte ich das nicht.
705.0	712.0	 Aber bis jetzt ist es immer so gewesen, dass nach einer oder zwei Stunden der Suchtdruck von ganz alleine gegangen ist.
712.0	717.0	 Man muss sich beschäftigen, das ist auch nicht einfach. Man muss sich wirklich überlegen und Notverplanungskills,
717.0	727.0	 die zu einem passen, die sind individuell, muss man sich raussuchen, was einem wirklich gut passt, die anwenden und dann ist der Suchtdruck weg.
727.0	740.0	 Wie ist das mit Flashbacks, wenn die kommen? Das ist ja früher so gewesen, dass das für Sie gekoppelt war an Konsum?
740.0	747.0	 Flashbacks sind so ähnlich. Ich weiß, dass ich gut bin und ich das alles selber handhaben kann.
747.0	752.0	 Ich entscheide über mein Leben, niemand anderes und auch keine Sucht.
752.0	758.0	 Eine Sucht ist ja nichts anderes, als dass man selber seine Traumatherapie möchte, indem man seine Gefühle unterdrückt.
758.0	764.0	 Aber wenn man mit seinen Gefühlen umgehen kann und sich selber nur rein ist, dann überfallen die eigentlich nicht mehr.
764.0	773.0	 Okay, Herr Steffens, ich möchte Sie noch mal fragen, wann ist das erste Mal, dass Sie von PTBS gehört haben?
773.0	780.0	 In der J-Fall-Siebkopp 1999, wo das mit dem Sexuellen Missbrauch auskam, habe ich mit der Frau Dr. Andrea Wilke
780.0	790.0	 eine posttraumatische Belastungsstörung in Form einer Therapie behandelt, was ich allerdings durch mehrere gefangene,
790.0	794.0	 weil es ein großer Komplex ist, es es nur eine Therapeutin dafür gibt, die es schwierig gestaltet hat,
794.0	798.0	 habe es aber nach der J-Fall auch nicht weiter verfolgt.
798.0	806.0	 Okay, das heißt im Verlauf des weiteren Lebens wussten Sie von Ihrer Diagnose, es ist aber nichts weiter damit passiert?
806.0	808.0	 Genau, richtig.
808.0	812.0	 Wie hat denn das Ihr Leben weiter beeinflusst?
812.0	825.0	 Sehr stark, immer wieder Angstzustände bekommen, immer wieder Flashbacks, ganz oft Triggermomente durch Brauchförmungen, durch Gerüche, durch visuelle Effekte.
825.0	848.0	 Das sind die typischen Symptome der PTBS, die Sie beschreiben.
848.0	855.0	 Okay, das heißt die PTBS ist diagnostiziert, aber mehr ist dann auch nicht passiert.
855.0	862.0	 Auch in den nachfolgenden Behandlungen sind Sie da nicht speziell behandelt worden?
862.0	870.0	 Nein, ich habe eine Therapie gemacht, eine Drogentherapie, wo aber der Schwerpunkt auf Drogen lag.
870.0	876.0	 Da wurde nicht die PTBS behandelt, da wurde wirklich nur die Suchtproblematik bearbeitet.
876.0	887.0	 Für mich in meinem Fall das ganz nah aneinander hängt, weil ich ja mit Drogen die Gefühle, die ich durch den Missbrauch in der Kindheit gehabt habe, versucht habe zu unterdrücken.
887.0	891.0	 Meine Emotionen zu betäuben.
891.0	902.0	 Das heißt nach der Drogentherapie, die Sie erfolgreich beendet haben, wie sah es da mit Ihrer Abstinenz aus?
902.0	906.0	 Nicht sehr gut, weil ich wusste, dass ich keine Drogen nehmen darf.
906.0	911.0	 Ich habe auch den Schlüssel dazu bekommen, wie ich Drogen aus dem Weg bekomme.
911.0	923.0	 Aber das negative Gefühl immer drinnen und die negativen Emotionen und der Selbsthass und sich selber nicht annehmen zu können und die Ängste, die waren ja immer noch vorhanden.
923.0	931.0	 Ja, okay. Wie kam es denn dann dazu, dass Sie eine Drogenbehandlung mit Trauma-Behandlung anfangen konnten?
931.0	945.0	 Ich bin in eine Nachfolge gegangen über ein betreutes Wohnen und habe eine sehr, sehr nette Betreuerin gehabt, mit der ich darüber gesprochen habe, was für mich denn das Richtige eigentlich wäre.
945.0	955.0	 Dadurch, dass ich immer wieder rückfällig geworden bin und meine Abstinenz nicht halten konnte und dass es immer kürzere Abstände geworden sind, haben wir zusammen den Entschluss gefasst,
955.0	966.0	 dass es mir doch gut wäre, mal an der posttraumatischen Belastungsstörung zu arbeiten und dass mir das vielleicht zur Abstinenz weiterhelfen könnte.
966.0	976.0	 Diese Therapie haben Sie dann ja vor circa zwei Jahren auch angetreten. Das ist jetzt ungefähr zwei Jahre her. Wie geht es Ihnen heute?
976.0	985.0	 Heute geht es mir, ich würde jetzt sagen, fantastisch. Es wäre gelungen, dass wir auch zu weit hergegriffen. Mir geht es gut. Ich stehe im Leben.
985.0	995.0	 Ich bin berufstätig. Ich habe einen guten Job. Ich kann mich selber akzeptieren. Ich kann mich selber liebhaben. Ich genüge mir auch selber.
995.0	1009.0	 Ich besuche meine Gruppen. Ich gestalte meine Freizeit gut und versuche negative Gefühle sofort anzusprechen und auszusprechen und denen gar nicht so viel Raum mehr zu geben.
1009.0	1016.0	 Sie sprechen gerade an, Sie haben Ihre Gruppen, das heißt Sie haben ein Netzwerk aufgebaut?
1016.0	1025.0	 Ich habe ein Netzwerk mit verschiedenen Hilfegruppen aufgebaut. Es gibt die NAs, da kurze Abonnements, wo man mit ehemaligen Betroffenen sprechen kann,
1025.0	1034.0	 die auch sehr viel Freizeitangebote anbieten, was ja ganz wichtig ist. Man hat ja sehr viel Freizeit, wenn man nicht den ganzen Tag auf der Suche nach Drogen ist.
1034.0	1044.0	 Und die zu gestalten, ist eine Herausforderung. Da hat man halt ein Netzwerk von anderen Menschen, die auch clean sind und die auch direkt über einen Bescheid wissen.
1044.0	1053.0	 Das ist halt schwierig, privat mit Leuten in Kontakt zu treten, die keine Suchtproblematik haben. Die natürlich immer wieder sagen, komm, trinken wir mal ein Bier oder gehen wir mal ein Düngertspiel.
1053.0	1062.0	 Das ist halt alles sehr viel mit Konsum. Und so hat man aber eine Gruppe von Menschen, die genau, die man selber abstinent ist und mit denen man eine ganz, ganz tolle Freizeit verbringen kann.
1062.0	1070.0	 Gibt es etwas, was Sie anderen Menschen, die dieses Interview jetzt hören, mit auf den Weg geben können?
1070.0	1076.0	 Ja, ein Wort, Hoffnung. Es gibt Hoffnung.
1076.0	1078.0	 Dankeschön.
1078.0	1107.0	 Sehr gerne.
